METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;What is the language accepted by the automaton that ends in state q1?;Could you be more specific?;0.2;7;False;{'user_input': 'What is the language accepted by the automaton that ends in state q1?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'q1'}}
Relevancy;What is the type of language recognized by this automaton?;Could you be more specific?;0.2;8;False;{'user_input': 'What is the type of language recognized by this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Relevancy;Could you explain, in theoretical terms, what language is recognized by this finite state automaton for the input string 11000?;Could you be more specific?;0.1;9;False;{'user_input': 'Could you explain, in theoretical terms, what language is recognized by this finite state automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Relevancy;For the input string 11000, what is the language recognized by this automaton?;Could you be more specific?;0.1;10;False;{'user_input': 'For the input string 11000, what is the language recognized by this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Correctness;Is it possible to go from state q2 directly to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Is it possible to go from state q2 directly to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;What is the transition from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the transition from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;Is there a transition from state q2 to state q4, and if so, with which input symbol?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Is there a transition from state q2 to state q4, and if so, with which input symbol?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;What is the label of the transition that goes from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;"Thank you for explaining the transitions; could you please confirm what the symbol is on the transition from q2 to q4?";there is no transition between q2 and q4.;1.0;0;False;"{'user_input': 'Thank you for explaining the transitions; could you please confirm what the symbol is on the transition from q2 to q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}"
Correctness;What is the symbol of the transition from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the symbol of the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;The transition from q2 to q4 with which input symbol is not allowed in this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.0;1;False;{'user_input': 'The transition from q2 to q4 with which input symbol is not allowed in this automaton?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}}
Correctness;Could you tell me something about this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.9;1;False;{'user_input': 'Could you tell me something about this automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}}
Correctness;The language recognized by this automaton is non-regular.;Could you be more specific?;0.0;2;False;{'user_input': 'The language recognized by this automaton is non-regular.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': 'language'}}
Correctness;Ok, I accept the turn: could you tell me what is the language recognized by this automaton, given an input string?;Could you be more specific?;0.0;3;False;{'user_input': 'Ok, I accept the turn: could you tell me what is the language recognized by this automaton, given an input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'input': '?'}}
Correctness;Which state in this automaton has the highest number of transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;4;False;{'user_input': 'Which state in this automaton has the highest number of transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Correctness;What are the states of this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;1.0;4;False;{'user_input': 'What are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
