METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;Is it possible to go from q2 to q4 with a single transition in this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. MUTATION In total there are 5 states: q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.3;1;True;{'user_input': 'Is it possible to go from q2 to q4 with a single transition in this automaton?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}}
Relevancy;What is the final state of this automaton?;The final state is q0.;1.0;1;False;{'user_input': 'What is the final state of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': '?'}}
Relevancy;The automaton has 5 states: q0, q1, q2, q3 and q4, where q0 is both the initial and the final state.;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.9;1;False;{'user_input': 'The automaton has 5 states: q0, q1, q2, q3 and q4, where q0 is both the initial and the final state.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateNames': 'q0'}}
Relevancy;In this automaton there are 2 states.;The number of states is incorrect.;1.0;1;False;{'user_input': 'In this automaton there are 2 states.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '2'}}
Relevancy;What is the final state of this finite state automaton?;The final state is q0.;1.0;1;False;{'user_input': 'What is the final state of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': '?'}}
Relevancy;The automaton is currently in state q2.;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.2;2;False;{'user_input': 'The automaton is currently in state q2.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'state': 'q2'}}
Relevancy;What information can you tell me about state q2?;The state q0 exists.;0.1;3;False;{'user_input': 'What information can you tell me about state q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q2'}}
Relevancy;The state q2.;The state q2 exists.;1.0;3;False;{'user_input': 'The state q2.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2']}}
Relevancy;Could you tell me which state this regular language automaton is in?;The state q0 exists.;0.4;3;False;{'user_input': 'Could you tell me which state this regular language automaton is in?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Relevancy;Which transitions leave from state q2 in this automaton?;the transition is not defined.;0.9;3;False;{'user_input': 'Which transitions leave from state q2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', '?', '?']]}}
Relevancy;What information can you tell me about state q2?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.2;4;False;{'user_input': 'What information can you tell me about state q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q2'}}
Relevancy;What is the theoretical role or meaning of state q2 in this finite state automaton?;The state q0 exists.;0.1;5;False;{'user_input': 'What is the theoretical role or meaning of state q2 in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q2'}}
Relevancy;From which state does this transition start?;The initial state is q0.;0.2;6;False;{'user_input': 'From which state does this transition start?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}}
Relevancy;Hello, about the states of this automaton, could you explain what happens when we are in state q2?;The state q2 exists.;0.2;7;False;{'user_input': 'Hello, about the states of this automaton, could you explain what happens when we are in state q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2']}}
Relevancy;What information can you tell me about state q2?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.2;8;False;{'user_input': 'What information can you tell me about state q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q2'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Correctness;Is there any transition leaving state q2 on input 1?;the transition is not defined.;1.0;0;False;{'user_input': 'Is there any transition leaving state q2 on input 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', '?', '1']]}}
Correctness;Which transitions start from states Q1 and Q2 in this automaton?;the transition is not defined.;0.0;1;False;{'user_input': 'Which transitions start from states Q1 and Q2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['Q1', 'Q2', '?'], ['Q2', 'Q1', '?']]}}
Correctness;What are the states of this automaton?;The state q0 exists.;0.2;2;False;{'user_input': 'What are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Correctness;What are the transitions between states Q1 and Q2 in this automaton, specifically the one from Q1 to Q2 and the one from Q2 back to Q1?;the transition is not defined.;1.0;2;False;{'user_input': 'What are the transitions between states Q1 and Q2 in this automaton, specifically the one from Q1 to Q2 and the one from Q2 back to Q1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['Q1', 'Q2', '?'], ['Q2', 'Q1', '?']]}}
Correctness;What is the alphabet for the transitions from Q1 to Q2 and from Q2 back to Q1?;Could you be more specific?;0.0;3;False;{'user_input': 'What is the alphabet for the transitions from Q1 to Q2 and from Q2 back to Q1?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Correctness;What is the alphabet of this automaton?;Could you be more specific?;0.0;4;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Correctness;What is the language accepted by this automaton?;Could you be more specific?;0.0;5;False;{'user_input': 'What is the language accepted by this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Correctness;In this automaton’s language, how many final states are there?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;6;False;{'user_input': 'In this automaton’s language, how many final states are there?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Correctness;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;7;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Correctness;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;8;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Correctness;Can you tell me how many final states this automaton has?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;9;False;{'user_input': 'Can you tell me how many final states this automaton has?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Correctness;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;10;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Correctness;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;11;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Correctness;Can you check how many final states this automaton has?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;12;False;{'user_input': 'Can you check how many final states this automaton has?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
Correctness;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;13;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}}
