METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Correctness;What is the initial state of this automaton?;The initial state is q0.;1.0;0;False;{'user_input': 'What is the initial state of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}}
Correctness;What is the graphical representation of state q0 in this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;1;False;{'user_input': 'What is the graphical representation of state q0 in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}}
Correctness;What is the graphical representation of the state in this finite state automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.2;2;False;{'user_input': 'What is the graphical representation of the state in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}}
Correctness;Could you ask me a practical question about a specific state in the graphical representation of this finite state automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.4;2;False;{'user_input': 'Could you ask me a practical question about a specific state in the graphical representation of this finite state automaton?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}}
Correctness;Can you show me the graphic representation of this automaton on the tablet?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.5;2;False;{'user_input': 'Can you show me the graphic representation of this automaton on the tablet?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'graphicRepresentation': '?'}}
Correctness;What is the alphabet of this finite state automaton?;Could you be more specific?;0.0;3;False;{'user_input': 'What is the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Correctness;What is the alphabet of this automaton?;Could you be more specific?;0.0;4;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Correctness;Hi again! For this automaton, what is its alphabet?;Could you be more specific?;0.0;5;False;{'user_input': 'Hi again! For this automaton, what is its alphabet?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Correctness;What is the alphabet of this automaton?;Could you be more specific?;0.0;6;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Correctness;Thank you, could you please tell me what the alphabet of this automaton is?;Could you be more specific?;0.0;7;False;{'user_input': 'Thank you, could you please tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}
Correctness;What is the alphabet of this automaton?;Could you be more specific?;0.0;8;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Correctness;The alphabet of this automaton is \[“0”, “1”].;Could you be more specific?;0.0;9;False;{'user_input': 'The alphabet of this automaton is \\[“0”, “1”].', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '0'}}
Correctness;What is the alphabet of this automaton?;Could you be more specific?;0.0;10;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
