METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;In this automaton, what is the language of the state that has the most transitions?;Could you be more specific?;0.1;2;False;{'user_input': 'In this automaton, what is the language of the state that has the most transitions?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'input': '?', 'states': '?', 'transitions': [], 'initialState': '?', 'finalStates': '?'}}
Relevancy;What is the language accepted by this automaton, given its states, transitions, alphabet, initial state, final states, and for which input strings it accepts?;Could you be more specific?;0.1;3;False;{'user_input': 'What is the language accepted by this automaton, given its states, transitions, alphabet, initial state, final states, and for which input strings it accepts?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': '?', 'finalStates': '?', 'input': '?'}}
Relevancy;Hi, in this practical exercise on finite state automata, could you tell me what the alphabet is, what the initial state is, which are the final states, and what input we should consider for this automaton?;Could you be more specific?;0.1;4;False;{'user_input': 'Hi, in this practical exercise on finite state automata, could you tell me what the alphabet is, what the initial state is, which are the final states, and what input we should consider for this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': '?', 'finalStates': '?', 'input': '?'}}
Relevancy;How many transitions are there in the automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;4;False;{'user_input': 'How many transitions are there in the automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}}
Relevancy;What is the input pattern, alphabet, initial state, and final states of this finite state automaton?;Could you be more specific?;0.1;5;False;{'user_input': 'What is the input pattern, alphabet, initial state, and final states of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': '?', 'finalStates': '?', 'input': '?'}}
Relevancy;What is the current state of this automaton if the alphabet is ?, the initial state is ?, the final states are ?, and the input string is ?;The initial state is q0.;0.3;6;False;{'user_input': 'What is the current state of this automaton if the alphabet is ?, the initial state is ?, the final states are ?, and the input string is ?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': '?', 'finalStates': '?', 'input': '?'}}
Relevancy;Which alphabet, initial state, final states, and input string does this finite state automaton pattern use?;Could you be more specific?;0.1;7;False;{'user_input': 'Which alphabet, initial state, final states, and input string does this finite state automaton pattern use?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': '?', 'finalStates': '?', 'input': '?'}}
Relevancy;What is the alphabet used for the transitions [“Q1”, “Q2”, “?”] in this automaton?;Could you be more specific?;0.1;8;False;{'user_input': 'What is the alphabet used for the transitions [“Q1”, “Q2”, “?”] in this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this finite state automaton?;Could you be more specific?;0.1;9;False;{'user_input': 'What is the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this automaton?;Could you be more specific?;0.1;10;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this automaton?;Could you be more specific?;0.1;11;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;What is the alphabet of this automaton, starting from which state?;Could you be more specific?;0.1;12;False;{'user_input': 'What is the alphabet of this automaton, starting from which state?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': '?'}}
Relevancy;What is the alphabet of a non-regular language that could be recognized by this automaton?;Could you be more specific?;0.2;13;False;{'user_input': 'What is the alphabet of a non-regular language that could be recognized by this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Correctness;Is it possible to go from state q2 to state q4 in this automaton?;the transition is not defined.;0.2;1;False;{'user_input': 'Is it possible to go from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;What is the transition from state q2 to state q4?;the transition is not defined.;1.0;1;False;{'user_input': 'What is the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;In this deterministic automaton, can you explain the transition function?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.7;1;False;{'user_input': 'In this deterministic automaton, can you explain the transition function?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {}}
Correctness;To which state does this transition go?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.5;1;False;{'user_input': 'To which state does this transition go?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}
Correctness;What is the transition from state q2 to state q4?;the transition is not defined.;1.0;1;False;{'user_input': 'What is the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Correctness;What is the label of the transition that goes from state q2 to state q4?;the transition is not defined.;1.0;1;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
