METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;2;What is the value of the transition from q1 to q2?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'What is the value of the transition from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;How many states does this automaton have?;This automaton has 5 states;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[1.0, 1.0, 1.0, 1.0];1.0;0;False;{'user_input': 'How many states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;which state in this automaton has no outgoing transitions from q3?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.8];0.0;1;False;{'user_input': 'which state in this automaton has no outgoing transitions from q3?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q3'}};[0.0, 0.2, 0.0, 0.8]
Accuracy;2;given the input [0,1], which state does the automaton end up in?;The state q0 exists.;['simbolo-q0'];[0.0, 0.2, 0.0, 0.2];0.0;2;False;{'user_input': 'given the input [0,1], which state does the automaton end up in?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}};[0.0, 0.2, 0.0, 0.2]
Accuracy;2;is q0 one of the states of this automaton?;The state q0 exists.;['simbolo-q0'];[1.0, 1.0, 1.0, 1.0];1.0;2;False;{'user_input': 'is q0 one of the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'states': 'q0'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;can you tell me what information is available about this?;The state q0 exists.;['simbolo-q0'];[0.2, 0.3, 0.2, 0.9];0.2;3;False;{'user_input': 'can you tell me what information is available about this?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {}};[0.2, 0.3, 0.2, 0.9]
Accuracy;2;"No, the state q0 is not only the initial and final state; there are other states besides q0.";The state q0 exists.;['simbolo-q0'];[0.1, 0.2, 0.1, 0.8];0.1;4;False;"{'user_input': 'No, the state q0 is not only the initial and final state; there are other states besides q0.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q0'}}";[0.1, 0.2, 0.1, 0.8]
Accuracy;2;hi again, could you please remind me which states are in the automaton? i only remember this.;The state q0 exists.;['simbolo-q0'];[0.2, 0.4, 0.2, 0.9];0.2;5;False;{'user_input': 'hi again, could you please remind me which states are in the automaton? i only remember this.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {'states': '?'}};[0.2, 0.4, 0.2, 0.9]
Accuracy;2;can you explain this of this finite state automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.95, 0.95, 1.0, 1.0];0.9;5;False;{'user_input': 'can you explain this of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {}};[0.95, 0.95, 1.0, 1.0]
Accuracy;3;What language does this automaton recognize in terms of strings of 0s and 1s?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;1;False;{'user_input': 'What language does this automaton recognize in terms of strings of 0s and 1s?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': 'language'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;"Which language is accepted by this automaton for the input string ""language""?";Could you be more specific?;[];[0.1, 0.2, 0.1, 0.9];0.1;2;False;"{'user_input': 'Which language is accepted by this automaton for the input string ""language""?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': 'language'}}";[0.1, 0.2, 0.1, 0.9]
Accuracy;3;what is the language recognized by this automaton for the input string?;Could you be more specific?;[];[0.1, 0.2, 0.1, 1.0];0.1;3;False;{'user_input': 'what is the language recognized by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;3;what is the language accepted by this automaton for the possible input strings?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;4;False;{'user_input': 'what is the language accepted by this automaton for the possible input strings?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;what is the language accepted by this automaton for the input [0,1]?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;5;False;{'user_input': 'what is the language accepted by this automaton for the input [0,1]?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': [0, 1]}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;Can you run this automaton on the input [0, 1] and tell me what happens?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.1, 0.3, 0.2, 1.0];0.1;6;False;{'user_input': 'Can you run this automaton on the input [0, 1] and tell me what happens?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': [0, 1]}};[0.1, 0.3, 0.2, 1.0]
Accuracy;3;given the automaton shown, what transitions are followed when the input is [0, 1]?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[0.0, 0.2, 0.0, 0.0];0.0;7;True;{'user_input': 'given the automaton shown, what transitions are followed when the input is [0, 1]?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.0, 0.2, 0.0, 0.0]
Accuracy;3;can you tell me which transitions are present in this deterministic automaton?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;7;True;{'user_input': 'can you tell me which transitions are present in this deterministic automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;3;the automaton’s transitions are not defined correctly.;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[0.1, 0.2, 0.2, 0.9];0.0;8;True;{'user_input': 'the automaton’s transitions are not defined correctly.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.1, 0.2, 0.2, 0.9]
Accuracy;3;can you list all the transitions of this automaton, specifying from which state to which state they go and with which input symbol?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;8;True;{'user_input': 'can you list all the transitions of this automaton, specifying from which state to which state they go and with which input symbol?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;3;before i leave, could you summarize all the transitions of this automaton for me?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;8;True;{'user_input': 'before i leave, could you summarize all the transitions of this automaton for me?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {}};[1.0, 1.0, 1.0, 1.0]
Accuracy;3;can you explain the transitions of this finite state automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.95, 0.95, 0.9, 1.0];0.95;8;False;{'user_input': 'can you explain the transitions of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};[0.95, 0.95, 0.9, 1.0]
Accuracy;3;Can you tell me the transitions of this non-deterministic automaton?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;8;True;{'user_input': 'Can you tell me the transitions of this non-deterministic automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;3;The transitions of this automaton are: q0–1→q1, q1–1→q2, q2–0→q3, q3–0→q4, and q4–0→q0.;The transition between q0 and q1 is with value 1.;['simbolo-q0-q1'];[1.0, 0.9, 0.5, 1.0];1.0;8;False;{'user_input': 'The transitions of this automaton are: q0–1→q1, q1–1→q2, q2–0→q3, q3–0→q4, and q4–0→q0.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q0', 'q1', '1'], ['q1', 'q2', '1'], ['q2', 'q3', '0'], ['q3', 'q4', '0'], ['q4', 'q0', '0']]}};[1.0, 0.9, 0.5, 1.0]
Accuracy;4;Is this automaton deterministic or non-deterministic?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.1, 0.3, 0.2, 1.0];0.1;1;False;{'user_input': 'Is this automaton deterministic or non-deterministic?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': 'automatonType'}};[0.1, 0.3, 0.2, 1.0]
Accuracy;4;"No, this automaton is not deterministic; what type of automaton is it supposed to be?";The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.1, 0.3, 0.2, 1.0];0.1;2;False;"{'user_input': 'No, this automaton is not deterministic; what type of automaton is it supposed to be?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'automatonType': '?'}}";[0.1, 0.3, 0.2, 1.0]
Accuracy;4;what is the optimal spatial representation of this automaton?;Could you be more specific?;[];[0.1, 0.2, 0.1, 1.0];0.1;3;False;{'user_input': 'what is the optimal spatial representation of this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'optimalSpatialRepresentation': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;4;Can you tell me what graphic representation pattern, for example a triangle, best describes this finite state automaton?;Could you be more specific?;[];[0.1, 0.1, 0.1, 1.0];0.1;4;False;{'user_input': 'Can you tell me what graphic representation pattern, for example a triangle, best describes this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;4;how many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;5;False;{'user_input': 'how many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;Hi, regarding the states of this automaton, how many final states does it have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;6;False;{'user_input': 'Hi, regarding the states of this automaton, how many final states does it have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;7;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;8;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;how many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;9;False;{'user_input': 'how many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;10;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;How many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.1];0.0;11;False;{'user_input': 'How many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.1]
Accuracy;4;how many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;12;False;{'user_input': 'how many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;Before we finish, could you tell me how many final states this automaton has?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.1];0.0;13;False;{'user_input': 'Before we finish, could you tell me how many final states this automaton has?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.1]
Accuracy;4;how many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;14;False;{'user_input': 'how many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;4;how many final states does this automaton have?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.2, 0.0, 0.2];0.0;15;False;{'user_input': 'how many final states does this automaton have?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfFinalStates': '?'}};[0.0, 0.2, 0.0, 0.2]
Accuracy;5;If I input the string 11000 starting from q0, does the automaton end in an accepting state?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;1;False;{'user_input': 'If I input the string 11000 starting from q0, does the automaton end in an accepting state?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;What is the language accepted by this automaton for the input string 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;2;False;{'user_input': 'What is the language accepted by this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;the language recognized by this automaton for the input `11000` is the set of all strings that contain the substring `11000`.;Could you be more specific?;[];[0.1, 0.1, 0.1, 1.0];0.0;3;False;{'user_input': 'the language recognized by this automaton for the input `11000` is the set of all strings that contain the substring `11000`.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;5;For the automaton shown, can you process the input string 11000 and tell me what happens?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;4;False;{'user_input': 'For the automaton shown, can you process the input string 11000 and tell me what happens?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;what is the language accepted by this automaton for the input string 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;5;False;{'user_input': 'what is the language accepted by this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;set the language of the automaton for the input 11000.;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;6;False;{'user_input': 'set the language of the automaton for the input 11000.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;Hello, could you please tell me what language is recognized by this automaton for the input string 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;7;False;{'user_input': 'Hello, could you please tell me what language is recognized by this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;On which state does the automaton end after processing the input string 11000?;The final state is q0.;['simbolo-q0'];[1.0, 1.0, 1.0, 0.9];1.0;7;False;{'user_input': 'On which state does the automaton end after processing the input string 11000?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': '?'}};[1.0, 1.0, 1.0, 0.9]
Accuracy;5;what is the language accepted by this automaton for the input string 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;8;False;{'user_input': 'what is the language accepted by this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;Can you run this automaton with the input string 11000 and tell me what happens?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.4, 0.6, 0.5, 1.0];0.4;8;False;{'user_input': 'Can you run this automaton with the input string 11000 and tell me what happens?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.4, 0.6, 0.5, 1.0]
Accuracy;5;does this automaton accept the language of all strings that contain the pattern 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;9;False;{'user_input': 'does this automaton accept the language of all strings that contain the pattern 11000?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'pattern': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;Can you check whether the automaton accepts the pattern 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;10;False;{'user_input': 'Can you check whether the automaton accepts the pattern 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'pattern': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;what is the language accepted by this automaton for the input string 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;11;False;{'user_input': 'what is the language accepted by this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;5;What is the language accepted by this automaton for the input string 11000?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.0;12;False;{'user_input': 'What is the language accepted by this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
