QUESTION;NLU OUTPUT;BEST FRAME;CERTAINTY SCORE;TEXTUAL RESPONSE;VISUAL RESPONSE
how many states and edges;{'user_input': 'how many states and edges', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?', 'numberOfTransitions': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};0.5;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
is it directed;{'user_input': 'is it directed', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'graphType': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
How is the automaton represented;{'user_input': 'How is the automaton represented', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
has it cycles;{'user_input': 'has it cycles', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'cycle': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
The automaton accepts a language allowing words made of an odd number of 0s and 1s;{'user_input': 'The automaton accepts a language allowing words made of an odd number of 0s and 1s', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': 'odd-length'}};{};0.0;Could you be more specific?;[]
is it possible repetitive pattern in the transactions;{'user_input': 'is it possible repetitive pattern in the transactions', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'patternExistence': '?'}};{};0.0;Could you be more specific?;[]
If q2 is the final state the language accepted by the automaton is the same;{'user_input': 'If q2 is the final state the language accepted by the automaton is the same', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'q2'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'finalStates': ['q0']}};0.2;The final state is q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
Briefly describe the automaton;{'user_input': 'Briefly describe the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
Does it only accept 1s and 0s;{'user_input': 'Does it only accept 1s and 0s', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'input': '0'}};{};0.0;Could you be more specific?;[]
And how about the arrows;{'user_input': 'And how about the arrows', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
Which is the initial state;{'user_input': 'Which is the initial state', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'initialState': '?'}};1.0;The initial state is q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
Does it have 5 states then;{'user_input': 'Does it have 5 states then', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'states': ['q0']}};0.2;The state q0 exists.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
How many states are there;{'user_input': 'How many states are there', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
Give me a list of the arcs;{'user_input': 'Give me a list of the arcs', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
Is there an arc from q0 to q1;{'user_input': 'Is there an arc from q0 to q1', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q0', 'q1', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'transitions': [['q0', 'q1', '?']]}};1.0;The transition between q0 and q1 is with value 1.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}]
What is the shape of the arcs;{'user_input': 'What is the shape of the arcs', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
Is there an arc from q0 to q2 q3 or q4;{'user_input': 'Is there an arc from q0 to q2 q3 or q4', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q0', 'q2', '?'], ['q0', 'q3', '?'], ['q0', 'q4', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'transitions': [['q0', 'q2', '?']]}};0.3333333333333333;there is no transition between q0 and q2.;[]
Which are the transitions from q1;{'user_input': 'Which are the transitions from q1', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', '?', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'transitions': [['q1', '*', '?']]}};0.7333333333333333;the transition is not defined.;[]
What is the purpose of the automaton;{'user_input': 'What is the purpose of the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
What happens when a 0 comes to state q1;{'user_input': 'What happens when a 0 comes to state q1', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '0']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'transitions': [['q1', 'q2', '?']]}};0.6666666666666666;The transition between q1 and q2 is with value 1.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}]
How many states do you have;{'user_input': 'How many states do you have', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
how are your states linked together;{'user_input': 'how are your states linked together', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'states': ['q0']}};0.2;The state q0 exists.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
is q0 linked to q0;{'user_input': 'is q0 linked to q0', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q0', 'q0', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'transitions': [['q0', 'q0', '?']]}};1.0;there is no transition between q0 and q0.;[]
what are the transitions from q4;{'user_input': 'what are the transitions from q4', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q4', '?', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'transitions': [['q4', '*', '?']]}};0.7333333333333333;the transition is not defined.;[]
what are the links of q4;{'user_input': 'what are the links of q4', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
can you describe me the automaton;{'user_input': 'can you describe me the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
Could you briefly describe the automaton;{'user_input': 'Could you briefly describe the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
What are the states connected to q0;{'user_input': 'What are the states connected to q0', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q0', '?', '?']]}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 states: q0, q1, q2, q3 and q4.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
Is there an arc from q4;{'user_input': 'Is there an arc from q4', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q4', '?', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'transitions': [['q4', '*', '?']]}};0.7333333333333333;the transition is not defined.;[]
How many states does the automaton have;{'user_input': 'How many states does the automaton have', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
Are there any loops;{'user_input': 'Are there any loops', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'graph': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
What transitions enter and exit q0;{'user_input': 'What transitions enter and exit q0', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q0', '?', '?'], ['?', 'q0', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'transitions': [['q0', '*', '?']]}};0.36666666666666664;the transition is not defined.;[]
What does the automaton recognize;{'user_input': 'What does the automaton recognize', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{};0.0;Could you be more specific?;[]
What is the accepted language;{'user_input': 'What is the accepted language', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{};0.0;Could you be more specific?;[]
How many transitions are there;{'user_input': 'How many transitions are there', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
Is there a particular pattern;{'user_input': 'Is there a particular pattern', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}};{};0.0;Could you be more specific?;[]
How many nodes are there;{'user_input': 'How many nodes are there', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
How many states;{'user_input': 'How many states', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
Please describe the automaton;{'user_input': 'Please describe the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
