TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI
11;Tell me about the transition between q3 and q4;Explain to me what transition q3 q4 is;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
12;Tell me about the transition between q4 and q5;Explain to me what transition q4 q5 is;the transition is not defined.;[];the transition is not defined.;[];True;True
13;Tell me about the transition value between q0 and q1;Explain to me what transition value q0 q1 is;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
14;Tell me about the transition value between q1 and q2;Explain to me what transition value q1 q2 is;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
15;Tell me about the transition value between q2 and q3;Explain to me what transition value q2 q3 is;The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];True;True
16;Tell me about the transition value between q3 and q4;Explain to me what transition value q3 q4 is;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
17;Tell me about the transition value between q4 and q5;Explain to me what transition value q4 q5 is;the transition is not defined.;[];the transition is not defined.;[];True;True
18;What is the start state q0;Explain to me what start q0 is;The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
19;What is the state q0;Explain to me what state q0 is;The automaton has 5 states: q0, q1, q2, q3 and q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
20;What is the state q1;Explain to me what state q1 is;The state q1 exists.;[('simbolo-q1', '#04ed00', 'stroke')];The state q1 exists.;[('simbolo-q1', '#04ed00', 'stroke')];True;True
21;What is the state q2;Explain to me what state q2 is;The automaton has 5 states: q0, q1, q2, q3 and q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The automaton has 5 states: q0, q1, q2, q3 and q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];True;True
22;What is the state q3;Explain to me what state q3 is;The state q3 exists.;[('simbolo-q3', '#04ed00', 'stroke')];The state q3 exists.;[('simbolo-q3', '#04ed00', 'stroke')];True;True
23;What is the state q4;Explain to me what state q4 is;The automaton has 5 states: q0, q1, q2, q3 and q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The automaton has 5 states: q0, q1, q2, q3 and q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];True;True
24;What is the goal state q0;Explain to me what state q0 finale is;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
25;What is the transition between q0 and q1;Explain to me what transition q0 q1 is;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
26;What is the transition between q1 and q2;Explain to me what transition q1 q2 is;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
27;What is the transition between q2 and q3;Explain to me what transition q2 q3 is;The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];True;True
28;What is the transition between q3 and q4;Explain to me what transition q3 q4 is;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
29;What is the transition between q4 and q5;Explain to me what transition q4 q5 is;the transition is not defined.;[];the transition is not defined.;[];True;True
30;What is the transition value between q0 and q1;Explain to me what transition value q0 q1 is;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
31;What is the transition value between q1 and q2;Explain to me what transition value q1 q2 is;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
32;What is the transition value between q2 and q3;Explain to me what transition value q2 q3 is;The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];True;True
33;What is the transition value between q3 and q4;Explain to me what transition value q3 q4 is;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
34;What is the transition value between q4 and q5;Explain to me what transition value q4 q5 is;the transition is not defined.;[];the transition is not defined.;[];True;True
