TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI
33;What is the value of the transition between q2 and q3?;What is the value of the transition between state q2 and state q3?;The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];True;True
34;What is the value of the transition between q3 and q4?;What is the value of the transition between state q3 and state q4?;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
35;What is the value of the transition between q4 and q0?;What is the value of the transition between state q4 and state q0?;The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
36;What is the value of the transition between q0 and q2?;What is the value of the transition between state q0 and state q2?;there is no transition between q0 and q2.;[];there is no transition between q0 and q2.;[];True;True
37;What is the value of the transition between q0 and q3?;What is the value of the transition between state q0 and state q3?;there is no transition between q0 and q3.;[];there is no transition between q0 and q3.;[];True;True
38;What is the value of the transition between q0 and q4?;What is the value of the transition between state q0 and state q4?;there is no transition between q0 and q4.;[];there is no transition between q0 and q4.;[];True;True
39;What is the value of the transition between q1 and q0?;What is the value of the transition between state q1 and state q0?;there is no transition between q1 and q0.;[];there is no transition between q1 and q0.;[];True;True
40;What is the value of the transition between q1 and q3?;What is the value of the transition between state q1 and state q3?;there is no transition between q1 and q3.;[];there is no transition between q1 and q3.;[];True;True
41;What is the value of the transition between q1 and q4?;What is the value of the transition between state q1 and state q4?;there is no transition between q1 and q4.;[];there is no transition between q1 and q4.;[];True;True
42;What is the value of the transition between q2 and q0?;What is the value of the transition between state q2 and state q0?;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
43;What is the value of the transition between q2 and q1?;What is the value of the transition between state q2 and state q1?;there is no transition between q2 and q1.;[];there is no transition between q2 and q1.;[];True;True
44;What is the value of the transition between q2 and q4?;What is the value of the transition between state q2 and state q4?;there is no transition between q2 and q4.;[];there is no transition between q2 and q4.;[];True;True
45;What is the value of the transition between q3 and q0?;What is the value of the transition between state q3 and state q0?;there is no transition between q3 and q0.;[];there is no transition between q3 and q0.;[];True;True
46;What is the value of the transition between q3 and q1?;What is the value of the transition between state q3 and state q1?;there is no transition between q3 and q1.;[];there is no transition between q3 and q1.;[];True;True
47;What is the value of the transition between q3 and q2?;What is the value of the transition between state q3 and state q2?;there is no transition between q3 and q2.;[];there is no transition between q3 and q2.;[];True;True
48;What is the value of the transition between q4 and q1?;What is the value of the transition between state q4 and state q1?;there is no transition between q4 and q1.;[];there is no transition between q4 and q1.;[];True;True
49;What is the value of the transition between q4 and q2?;What is the value of the transition between state q4 and state q2?;there is no transition between q4 and q2.;[];there is no transition between q4 and q2.;[];True;True
50;What is the value of the transition between q4 and q3?;What is the value of the transition between state q4 and state q3?;there is no transition between q4 and q3.;[];there is no transition between q4 and q3.;[];True;True
51;Tell me about the transition q0 q1;Tell me about transition q0 q1;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
52;Tell me about the transition q1 q2;Tell me about transition q1 q2;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
53;Tell me about the transition q2 q3;Tell me about transition q2 q3;The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];True;True
54;Tell me about the transition q3 q4;Tell me about transition q3 q4;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
55;Tell me about the transition q4 q0;Tell me about transition q4 q0;The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
