TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI
76;Describe graphically automaton ;Describe graphicaly automaton ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
84;What is the accepted language ;What is the acepted language ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
95;can you deescribe the transitions ;can you describe the transitions ;The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
100;What are the accepted inputs ;What are the acepted inputs ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
101;What is the accepted language ;What is the acepted language ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
102;Is 11100 part of the accepted language ;Is 10 part of the acepted language ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
104;Is there a particular pattern among the arcs ;Is there a particular patern among the arcs ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
106;what are all the transictions ;what are al the transictions ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
118;is there a particulare pattern ;is there a particulare patern ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
119;are there arcs between q2 and q0 ;are there arcs betwen q2 and q0 ;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
131;there is a particular pattern among them ;there is a particular patern among them ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
135;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;The automaton acepts a language alowing words made of an od number of 0s and 1s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
136;It is possible to find a repetitive pattern in the transitions ;It is posible to find a repetitive patern in the transitions ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
137;If q2 were the final state the language accepted by the automaton is the same ;If q2 were the final state the language acepted by the automaton is the same ;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
145;What is an example of accepted string ;What is an example of acepted string ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
153;Is there a pattern among the arcs ;Is there a patern among the arcs ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
156;is there an arc between q0 and q1 ;is there an arc betwen q0 and q1 ;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
168;According to your understanding of Automaton 2 what is its optimal spatial representation ;Acording to your understanding of Automaton 2 what is its optimal spatial representation ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
169;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;The automaton acepts a language alowing words made of an od number of 0s and 1s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
173;Is there an arc between q0 and q1 ;Is there an arc betwen q0 and q1 ;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
174;Is there an arc between q1 and q2 ;Is there an arc betwen q1 and q2 ;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
187;what language accepts this auotmata ;what language acepts this auotmata ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
192;what is the language accepted by the automaton ;what is the language acepted by the automaton ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
193;is the string 110 accepted by the automaton ;is the string 10 acepted by the automaton ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
199;what symbols does the automaton accept ;what symbols does the automaton acept ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
200;what are the symbols accepted by the automaton ;what are the symbols acepted by the automaton ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
203;Vorrei una descrizione di Automa1 ;Vorei una descrizione di Automa1 ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
210;It is possible to find a repetitive pattern in the transitions ;It is posible to find a repetitive patern in the transitions ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
211;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;The automaton acepts a language alowing words made of an od number of 0s and 1s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
212;If q2 were the final state the language accepted by the automaton is the same ;If q2 were the final state the language acepted by the automaton is the same ;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
213;If q2 were the final state the language accepted by the automaton is the same ;If q2 were the final state the language acepted by the automaton is the same ;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
214;If q0 were the final state the language accepted by the automaton is the same ;If q0 were the final state the language acepted by the automaton is the same ;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
217;is there a particulare pattern among automata arcs ;is there a particulare patern among automata arcs ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
219;What is the accepted language ;What is the acepted language ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
222;what is the regular expression describing the automata ;what is the regular expresion describing the automata ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
224;Summarise the automaton ;Sumarise the automaton ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
226;What language does the automaton accept ;What language does the automaton acept ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
237;Whatsappo ;Whatsapo ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
245;What direction are the connections between the states ;What direction are the conections betwen the states ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
254;pattern;patern;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
255;loops;lops;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
256;how many loops are there;how many lops are there;The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
258;what are the states and the connections between states ;what are the states and the conections betwen states ;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
266;arc between q0 and q1 ;arc betwen q0 and q1 ;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
269;how is marked the arc between q0 and q2 ;how is marked the arc betwen q0 and q2 ;there is no transition between q0 and q2.;[];there is no transition between q0 and q2.;[];True;True
275;Tell me a little bit about the automaton ;Tel me a litle bit about the automaton ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
276;Tell me a little bit about the automaton ;Tel me a litle bit about the automaton ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
280;Is there a pattern among the transitions ;Is there a patern among the transitions ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
282;Does the automaton accept a language allowing words made of an odd number of 0s and 1s ;Does the automaton acept a language alowing words made of an od number of 0s and 1s ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
283;Is it possible to repeat transitions ;Is it posible to repeat transitions ;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
284;It is possible to find a repetitive pattern in the transitions ;It is posible to find a repetitive patern in the transitions ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
286;arcs between q4 and q0;arcs betwen q4 and q0;The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
297;pattern among arcs;patern among arcs;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
303;which are the states connected with 0 ;which are the states conected with 0 ;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
311;what are the patterns;what are the paterns;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
312;what are the patterns ;what are the paterns ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
313;patterns among arc;paterns among arc;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
314;patterns among arcs;paterns among arcs;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
320;what is a pattern;what is a patern;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
321;what is a particular pattern among arcs;what is a particular patern among arcs;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
329;what is the accepted language;what is the acepted language;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
330;does the automaton accept other languages;does the automaton acept other languages;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
341;is there any self loop;is there any self lop;there is no transition between q0 and q0.;[];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
342;what is a connection;what is a conection;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
356;What is the accepted language;What is the acepted language;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
358;is there a particular pattern among the arcs;is there a particular patern among the arcs;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
359;if the automaton is in the state q3 and the input is 11100 what happens;if the automaton is in the state q3 and the input is 10 what hapens;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
360;if the automaton is in the state q3 and the input is 11100 what happens;if the automaton is in the state q3 and the input is 10 what hapens;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];the transition is not defined.;[];False;False
364;describe me the language accepted;describe me the language acepted;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
365;what is a word in the language accepted;what is a word in the language acepted;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
369;is 2 accepted as input;is 2 acepted as input;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
370;suggest me some questions;sugest me some questions;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
371;tell me something about the states ;tel me something about the states ;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
381;tell me a real use case of this automation;tel me a real use case of this automation;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
383;are there any loops in the automaton;are there any lops in the automaton;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
386;based on your previous answer this automata could accept the binary string 111100;based on your previous answer this automata could acept the binary string 10;Potresti essere più specifico?;[];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
391;are there some pattern;are there some patern;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
392;Explain the difference between deterministic and non deterministic finite automata;Explain the diference betwen deterministic and non deterministic finite automata;Potresti essere più specifico?;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];False;True
393;Define the concept of an accepting state in finite automata;Define the concept of an acepting state in finite automata;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];False;True
395;Describe the transitions and the accepting states of this specific automaton;Describe the transitions and the acepting states of this specific automaton;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
396;What happens if the input sequence does not match the required pattern of three 1s followed by two 0s in this automaton;What hapens if the input sequence does not match the required patern of thre 1s folowed by two 0s in this automaton;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
402;Is there a particular pattern among the transitions in this automaton;Is there a particular patern among the transitions in this automaton;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
403;What happens if the input string is shorter than three 1s followed by two 0s;What hapens if the input string is shorter than thre 1s folowed by two 0s;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
404;goodmorning, how are you;godmorning, how are you;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
410;What happens if the input does not follow the sequence of three 1s followed by two 0s;What hapens if the input does not folow the sequence of thre 1s folowed by two 0s;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
411;What triggers a transition from one state to another in the automaton;What trigers a transition from one state to another in the automaton;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
412;What input pattern is required for the automaton to reach its final state;What input patern is required for the automaton to reach its final state;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
419;Which state follows q1 in the automaton;Which state folows q1 in the automaton;The state q1 exists.;[('simbolo-q1', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];False;False
421;What happens after the automaton reaches q4;What hapens after the automaton reaches q4;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];True;True
423;What kind of language is accepted by this automaton;What kind of language is acepted by this automaton;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
424;Can the automaton accept an empty string;Can the automaton acept an empty string;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
425;Does the automaton accept sequences longer than three 1s followed by two 0s;Does the automaton acept sequences longer than thre 1s folowed by two 0s;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
430;what are the transitions between these states;what are the transitions betwen these states;there is no transition between q0 and q0.;[];there is no transition between q0 and q0.;[];True;True
433;what input is accepted;what input is acepted;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
434;what is the accepted language;what is the acepted language;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
448;what input can be processed by the automaton;what input can be procesed by the automaton;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
449;What input the automaton accept;What input the automaton acept;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
450;what is the accepted language;what is the acepted language;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
455;is there a particular pattern among them;is there a particular patern among them;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
459;what symbols accept;what symbols acept;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
462;Tell me a little bit about the automaton;Tel me a litle bit about the automaton;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True
468;What are the states connected to q0;What are the states conected to q0;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];True;True
469;What are the states connected to q1;What are the states conected to q1;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q1 exists.;[('simbolo-q1', '#04ed00', 'stroke')];False;False
470;What are the states connected to q2;What are the states conected to q2;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];False;False
471;What are the states connected to q3;What are the states conected to q3;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];False;False
472;What are the states connected to q4;What are the states conected to q4;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
473;What are the states connected to q5;What are the states conected to q5;The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];The automaton has 4 states: q0, q1, q2 e q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];True;True
482;does it only accept 1s and 0s or other things;does it only acept 1s and 0s or other things;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
483;suggest me some question;sugest me some question;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
484;what are the paths between nodes;what are the paths betwen nodes;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
